NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E3821300001111,下川集会所,愛媛県四国中央市下川町777,,,,34.000354876362,133.63694602947,
2,E3821300003111,松柏公民館,愛媛県四国中央市下柏町388,,,,33.984908480259,133.56287317305,
3,E3821300004111,松柏小学校,愛媛県四国中央市下柏町407,1,,,33.984552709033,133.56404991308,
4,E3821300005121,子ども若者発達支援センター（パレット）,愛媛県四国中央市下柏町749-2,,,要配慮者,33.98954723093,133.56680471732,
5,E3821300110121,一般社団法人香和会　まめの木　日中事業所,愛媛県四国中央市寒川町1015-2,,,知的障がい者、精神障がい者、身体障がい者,33.9686082,133.5144336,
6,E3821300006111,寒川公民館,愛媛県四国中央市寒川町1390,,,,33.965802290539,133.51698447197,
7,E3821300007111,寒川小学校,愛媛県四国中央市寒川町1814,1,,,33.964298875275,133.51664144048,
8,E3821300008111,三島南中学校,愛媛県四国中央市寒川町4335,,,,33.96203885433,133.49735645848,
9,E3821300111121,株式会社ＴＲＵＳＴ　放課後等デイサービス　ここから,愛媛県四国中央市寒川町616-1,,,知的障がい者、精神障がい者、身体障がい者,33.969568786766,133.52028313743,
10,E3821300115121,株式会社四国中央興産　多機能型事業所のびのび,愛媛県四国中央市寒川町760,,,知的障がい者、精神障がい者、身体障がい者,33.970293,133.519735,
11,E3821300009111,上小川集会所,愛媛県四国中央市金砂町小川山2263-3,,,,33.923020378138,133.54398549809,
12,E3821300107121,医療法人明生会　リハビリデイサービスたんぽぽ,愛媛県四国中央市金生町下分1330,,,要支援・要介護認定者,33.999474730852,133.58031470546,
13,E3821300107122,医療法人明生会　デイサービスほのぼの,愛媛県四国中央市金生町下分1330,,,要支援・要介護認定者,33.999668189832,133.58035225638,
14,E3821300108121,医療法人明生会　デイサービスいきいき,愛媛県四国中央市金生町下分1348-1,,,要支援・要介護認定者,33.998660240905,133.58092881964,
15,E3821300011111,金生保育園,愛媛県四国中央市金生町下分1653-1,,,,34.002195219205,133.58204447176,
16,E3821300012111,金生第一小学校,愛媛県四国中央市金生町下分1665,1,,,34.002359811929,133.58284061666,
17,E3821300014121,川之江文化センター,愛媛県四国中央市金生町下分791-2,,,要配慮者,34.002072767247,133.57826526216,
18,E3821300015111,金生公民館,愛媛県四国中央市金生町下分865-1,,,,34.001374010131,133.57820795057,
19,E3821300016111,金生第二小学校,愛媛県四国中央市金生町山田井775,1,,,34.012485797138,133.59785717172,
20,E3821300017111,生きがい研修センター,愛媛県四国中央市金生町山田井826-3,,,,34.011068157851,133.59504738646,
21,E3821300018111,切山集会所,愛媛県四国中央市金生町山田井乙261-4,,,,34.021302498999,133.63615468397,
22,E3821300019111,南小学校,愛媛県四国中央市金田町金川145,1,,,33.991995121034,133.60067564859,
23,E3821300020111,金田こども園,愛媛県四国中央市金田町金川203-1,,,,33.988277657651,133.59567078217,
24,E3821300022111,金田公民館,愛媛県四国中央市金田町金川330,,,,33.985904589179,133.59630858855,
25,E3821300023111,半田公会堂,愛媛県四国中央市金田町半田乙264-3,,,,33.992251840277,133.60735685284,
26,E3821300025111,妻鳥公民館,愛媛県四国中央市妻鳥町1480-2,,,,33.992286134606,133.57141841324,
27,E3821300026111,妻鳥小学校,愛媛県四国中央市妻鳥町1488,1,,,33.991389731117,133.57138684807,
28,E3821300027111,しこちゅ～ホール,愛媛県四国中央市妻鳥町1830-1,,,,33.986864142689,133.57513073803,
29,E3821300109121,社会福祉法人今人倶楽部インクルーシブセンターいまじん（三島）,愛媛県四国中央市三島宮川2-2-6,,,知的障がい者、精神障がい者、身体障がい者,33.984121727674,133.55192500058,
30,E3821300031121,社会福祉法人澄心　ぽれぽれウインカル,愛媛県四国中央市三島宮川2-3-10,,,知的障がい者、精神障がい者、身体障がい者,33.985338103486,133.54954624128,
31,E3821300032121,保健センター,愛媛県四国中央市三島宮川4-6-53,,,要配慮者,33.98099026938,133.55002319067,
32,E3821300033111,三島小学校,愛媛県四国中央市三島中央3-2-23,1,,,33.980100600853,133.54323361922,
33,E3821300034111,三島公民館,愛媛県四国中央市三島中央3-4-21,,,,33.981243496575,133.54393043397,
34,E3821300035111,三島高等学校,愛媛県四国中央市三島中央5-11-30,1,,,33.978532808449,133.54506962667,
35,E3821300036111,柴生公会堂,愛媛県四国中央市柴生町461-4,,,,33.994830212454,133.61425176515,
36,E3821300038111,川之江南中学校,愛媛県四国中央市上分町395,1,,,33.994561224251,133.58328036189,
37,E3821300039111,上分保育園,愛媛県四国中央市上分町545-1,,,,33.992481840582,133.58551491729,
38,E3821300040111,上分公民館,愛媛県四国中央市上分町556-1,,,,33.993235,133.58654,
39,E3821300041111,上分小学校,愛媛県四国中央市上分町800,1,,,33.992519401255,133.58659748376,
40,E3821300116121,社会福祉法人愛美会　樋谷荘（通所介護支援事業所）,愛媛県四国中央市上分町乙8-2,,,要支援・要介護認定者,33.980378,133.587154,
41,E3821300042111,中上集会所,愛媛県四国中央市新宮町上山3108,,,,33.950500292,133.663711602,
42,E3821300043111,ジョイフル八窪,愛媛県四国中央市新宮町上山6751,,,,33.9586672858,133.678679453,
43,E3821300044111,旧西庄小学校講堂,愛媛県四国中央市新宮町上山922,,,,33.950903851024,133.65158210102,
44,E3821300045111,新宮小・中学校,愛媛県四国中央市新宮町新宮448,,,,33.944522153179,133.63819143655,
45,E3821300046111,新宮公民館,愛媛県四国中央市新宮町新宮482,,,,33.945872765289,133.63995767973,
46,E3821300047111,中西地区集会所,愛媛県四国中央市新宮町新宮50,,,,33.947689100547,133.63965731337,
47,E3821300048111,金山集会所,愛媛県四国中央市新宮町新宮620,,,,33.9400958206367,133.634297888001,
48,E3821300049111,少年自然の家,愛媛県四国中央市新宮町新瀬川1138,,,,33.916035423787,133.64970845664,
49,E3821300050111,久保ヶ内集会所,愛媛県四国中央市新宮町新瀬川310,,,,33.928697927085,133.63960778122,
50,E3821300051111,古野集会所,愛媛県四国中央市新宮町馬立1190,,,,33.949557667742,133.61332390802,
51,E3821300052111,新成・堂成集会所,愛媛県四国中央市新宮町馬立4219-1,,,,33.922199903142,133.64100377514,
52,E3821300053111,総野集会所,愛媛県四国中央市新宮町馬立4453,,,,33.9156082621,133.640218744,
53,E3821300054111,長瀬生活改善センター,愛媛県四国中央市新宮町馬立甲153-1,,,,33.934529405531,133.63265683195,
54,E3821300055111,葱尾ふれあい広場,愛媛県四国中央市川滝町下山1353-2,,,,33.996256317543,133.65414472908,
55,E3821300056111,川滝公民館,愛媛県四国中央市川滝町下山1882-1,,,,33.9908103458,133.63548729652,
56,E3821300057111,石川保育園,愛媛県四国中央市川滝町下山2104-3,,,,33.991331737038,133.62566092681,
57,E3821300058111,川之江こども園,愛媛県四国中央市川之江1061-6,,,,34.011342608686,133.56879131611,
58,E3821300059111,川之江体育館,愛媛県四国中央市川之江町1012-48,,,,34.01027361664,133.57094581133,
