df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID,市町村,更新日
1,番町,番町公民館,松山市二番町4-3-4,○,○,○,△,○,24,E3820100479111,松山市,2025/1/16
2,番町,番町小学校,松山市二番町4-6-1,○,○,○,△,○,23.6,E3820100480111,松山市,2025/1/16
3,東雲,東雲公民館,松山市勝山町2-11-5,○,○,○,△,○,31.9,E3820100219111,松山市,2025/1/16
4,東雲,東雲小学校,松山市文京町2-1,○,○,○,△,○,30.6,E3820100528111,松山市,2025/1/16
5,東雲,東中学校,松山市文京町2-2,○,○,○,△,○,30.4,E3820100529111,松山市,2025/1/16
6,東雲,八雲保育園,松山市此花町1-8,○,○,○,×,○,33.57,E3820100170111,松山市,2025/1/16
7,東雲,東雲保育園,松山市東雲町7-1,○,○,○,△,○,30.4,E3820100406111,松山市,2025/1/16
8,東雲,松山東雲中学・高等学校（体育館）,松山市大街道3-2-24,○,○,○,○,×,38.1,E3820100334111,松山市,2025/1/16
9,東雲,松山商業高等学校（体育館）,松山市旭町71,○,○,○,×,○,29.9,E3820100002111,松山市,2025/1/16
10,東雲,松山東高等学校（体育館）,松山市持田町2-2-12,○,○,○,×,○,33.29,E3820100198111,松山市,2025/1/16
11,東雲,松山北高等学校（体育館）,松山市文京町4-1,○,○,○,×,○,26.4,E3820100531111,松山市,2025/1/16
12,東雲,愛媛大学（城北地区 第1・第2体育館）,松山市文京町3,○,○,○,×,○,27.6,E3820100530111,松山市,2025/1/16
13,東雲,学校法人松山大学（体育館）,松山市文京町4-2,○,○,○,×,○,26.2,E3820100532111,松山市,2025/1/16
14,八坂,八坂公民館,松山市三番町1-3-2,○,○,○,△,○,27.1,E3820100176111,松山市,2025/1/16
15,八坂,八坂小学校,松山市湯渡町4-20,○,○,○,△,○,33.68,E3820100440111,松山市,2025/1/16
16,素鵞,素鵞公民館,松山市中村3-2-34,○,○,○,△,○,26.44,E3820100357111,松山市,2025/1/16
17,素鵞,素鵞小学校,松山市小坂1-4-48,○,○,○,△,○,31.31,E3820100222111,松山市,2025/1/16
18,素鵞,拓南中学校,松山市枝松5-4-39,○,○,○,△,○,29.34,E3820100195111,松山市,2025/1/16
19,素鵞,松山保育園,松山市中村3-5-29,○,○,○,△,○,25.55,E3820100359111,松山市,2025/1/16
20,雄郡,雄郡公民館,松山市小栗3-5-24,○,○,○,△,○,18.34,E3820100220111,松山市,2025/1/16
21,雄郡,雄郡小学校,松山市土橋町1,○,○,○,△,○,18.15,E3820100403111,松山市,2025/1/16
22,雄郡,双葉小学校,松山市土居田町123-3,○,○,○,△,○,15.34,E3820100399111,松山市,2025/1/16
23,雄郡,たちばな小学校,松山市針田町209-1,○,○,○,△,○,9.57,E3820100268111,松山市,2025/1/16
