モデル,パラメータサイズ,科目,モード,合計（分）,スコア,タイムアウト件数
llm-jp3.1,1.8,SPI,no_think,15,11.5,0
llm-jp3.1,1.8,一般常識,no_think,7,66,0
llm-jp3.1,1.8,地理,no_think,4,91.5,0
llm-jp3.1,1.8,数学,no_think,12,41,0
llm-jp3.1,13,SPI,no_think,51,20.75,0
llm-jp3.1,13,一般常識,no_think,26,82,0
llm-jp3.1,13,地理,no_think,12,94.5,0
llm-jp3.1,13,数学,no_think,59,60,0
qwen3,0.6,SPI,no_think,29,12.5,10
qwen3,0.6,SPI,think,53,17.25,22
qwen3,0.6,一般常識,no_think,11,20.75,4
qwen3,0.6,一般常識,think,7,26.25,1
qwen3,0.6,地理,no_think,7,13.75,2
qwen3,0.6,地理,think,7,7.25,1
qwen3,0.6,数学,no_think,8,70,2
qwen3,0.6,数学,think,19,77.5,6
qwen3,1.7,SPI,no_think,10,38,2
qwen3,1.7,SPI,think,38,50.5,5
qwen3,1.7,一般常識,no_think,4,42.75,0
qwen3,1.7,一般常識,think,7,53.25,0
qwen3,1.7,地理,no_think,5,26.75,1
qwen3,1.7,地理,think,9,28.75,1
qwen3,1.7,数学,no_think,4,89,0
qwen3,1.7,数学,think,14,99,0
qwen3,4,SPI,no_think,14,59.5,2
qwen3,4,SPI,think,41,73.5,3
qwen3,4,一般常識,no_think,9,66,2
qwen3,4,一般常識,think,11,81.5,0
qwen3,4,地理,no_think,3,49,0
qwen3,4,地理,think,10,40.75,0
qwen3,4,数学,no_think,5,95.75,0
qwen3,4,数学,think,21,99,0
qwen3,8,SPI,no_think,13,62.5,1
qwen3,8,SPI,think,46,78.5,1
qwen3,8,一般常識,no_think,9,78.25,1
qwen3,8,一般常識,think,11,88,0
qwen3,8,地理,no_think,3,68.25,0
qwen3,8,地理,think,11,72.75,0
qwen3,8,数学,no_think,6,95.75,0
qwen3,8,数学,think,24,99,1
qwen3,14,SPI,no_think,15,79,0
qwen3,14,SPI,think,53,83.75,4
qwen3,14,一般常識,no_think,8,83,1
qwen3,14,一般常識,think,17,88.75,0
qwen3,14,地理,no_think,3,80,0
qwen3,14,地理,think,15,79.25,0
qwen3,14,数学,no_think,8,97,0
qwen3,14,数学,think,35,98,2
qwen3,30,SPI,no_think,16,75,0
qwen3,30,SPI,think,58,76,14
qwen3,30,一般常識,no_think,8,87,1
qwen3,30,一般常識,think,18,87.25,1
qwen3,30,地理,no_think,4,84,0
qwen3,30,地理,think,14,78.75,0
qwen3,30,数学,no_think,7,98,0
qwen3,30,数学,think,34,98,2
qwen3,32,SPI,no_think,27,77,0
qwen3,32,SPI,think,82,76,15
qwen3,32,一般常識,no_think,14,88.25,1
qwen3,32,一般常識,think,32,89.5,0
qwen3,32,地理,no_think,6,85.75,0
qwen3,32,地理,think,26,84.75,0
qwen3,32,数学,no_think,13,99,0
qwen3,32,数学,think,64,97,3
qwq,32,SPI,think,98,72.25,20
qwq,32,一般常識,think,36,91.75,1
qwq,32,地理,think,29,73.25,1
qwq,32,数学,think,52,95.75,4
GPT4o,9999,一般常識,no_think,0,96,0
GPT4o,9999,数学,no_think,0,98,0
