df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID
1,番町,番町公民館,松山市二番町4-3-4,○,○,○,△,○,24,E3820100479111
2,番町,番町小学校,松山市二番町4-6-1,○,○,○,△,○,23.6,E3820100480111
3,東雲,東雲公民館,松山市勝山町2-11-5,○,○,○,△,○,31.9,E3820100219111
4,東雲,東雲小学校,松山市文京町2-1,○,○,○,△,○,30.6,E3820100528111
5,東雲,東中学校,松山市文京町2-2,○,○,○,△,○,30.4,E3820100529111
6,東雲,八雲保育園,松山市此花町1-8,○,○,○,×,○,33.57,E3820100170111
7,東雲,東雲保育園,松山市東雲町7-1,○,○,○,△,○,30.4,E3820100406111
8,東雲,松山東雲中学・高等学校（体育館）,松山市大街道3-2-24,○,○,○,○,×,38.1,E3820100334111
9,東雲,松山商業高等学校（体育館）,松山市旭町71,○,○,○,×,○,29.9,E3820100002111
10,東雲,松山東高等学校（体育館）,松山市持田町2-2-12,○,○,○,×,○,33.29,E3820100198111
11,東雲,松山北高等学校（体育館）,松山市文京町4-1,○,○,○,×,○,26.4,E3820100531111
12,東雲,愛媛大学（城北地区 第1・第2体育館）,松山市文京町3,○,○,○,×,○,27.6,E3820100530111
13,東雲,学校法人松山大学（体育館）,松山市文京町4-2,○,○,○,×,○,26.2,E3820100532111
14,八坂,八坂公民館,松山市三番町1-3-2,○,○,○,△,○,27.1,E3820100176111
15,八坂,八坂小学校,松山市湯渡町4-20,○,○,○,△,○,33.68,E3820100440111
16,素鵞,素鵞公民館,松山市中村3-2-34,○,○,○,△,○,26.44,E3820100357111
17,素鵞,素鵞小学校,松山市小坂1-4-48,○,○,○,△,○,31.31,E3820100222111
18,素鵞,拓南中学校,松山市枝松5-4-39,○,○,○,△,○,29.34,E3820100195111
19,素鵞,松山保育園,松山市中村3-5-29,○,○,○,△,○,25.55,E3820100359111
20,雄郡,雄郡公民館,松山市小栗3-5-24,○,○,○,△,○,18.34,E3820100220111
21,雄郡,雄郡小学校,松山市土橋町1,○,○,○,△,○,18.15,E3820100403111
22,雄郡,双葉小学校,松山市土居田町123-3,○,○,○,△,○,15.34,E3820100399111
23,雄郡,たちばな小学校,松山市針田町209-1,○,○,○,△,○,9.57,E3820100268111
24,雄郡,城西中学校,松山市竹原3-19-35,○,○,○,△,○,14.86,E3820100348111
25,雄郡,雄新中学校,松山市土居田町1,○,○,○,△,○,15.45,E3820100398111
26,雄郡,まつやまＲｅ・再来館,松山市空港通1-1-32,○,○,○,○,○,15.2,E3820100098111
27,雄郡,松山工業高等学校（体育館）,松山市真砂町1,○,○,○,×,○,19.43,E3820100264111
28,雄郡,松山南高等学校（体育館）,松山市末広町11-1,○,○,○,×,○,21.27,E3820100605111
29,雄郡,聖カタリナ学園高等学校（体育館）,松山市永代町10-1,○,○,○,×,○,21.35,E3820100020111
29,雄郡,聖カタリナ学園高等学校（体育館）,松山市永代町10-1,○,○,○,×,○,21.35,E3820100378111
30,雄郡,聖カタリナ学園高等学校（講堂兼体育館）,松山市藤原町468,○,○,○,×,○,20.71,E3820100441111
31,新玉,中央・新玉公民館,松山市千舟町8-69-4,○,○,○,△,○,17.1,E3820100307111
32,新玉,新玉小学校,松山市千舟町8-89,○,○,○,△,○,16.86,E3820100308111
33,新玉,学校法人済美学園 済美高等学校（体育館）,松山市湊町7-9-1,×,○,○,×,○,18.97,E3820100610111
34,味酒,味酒公民館,松山市松前町5-1-6,○,○,○,△,○,20.6,E3820100241111
35,味酒,味酒小学校,松山市宮西2-2-21,○,○,○,△,○,18.2,E3820100092111
36,味酒,朝美保育園,松山市美沢2-7-39,○,○,○,△,○,16.74,E3820100515111
37,味酒,学校法人愛光学園（体育館）,松山市衣山5-1610－1,○,○,○,○,○,31.2,E3820100010111
38,清水,清水公民館,松山市清水町3-170-4,○,○,○,△,○,24.71,E3820100284111
39,清水,清水小学校,松山市清水町3-15,○,○,○,△,○,25.9,E3820100283111
40,清水,姫山小学校,松山市山越3-800,○,○,○,○,△,36.1,E3820100181111
41,清水,勝山中学校,松山市清水町3-148-2,○,○,○,△,○,24.45,E3820100282111
42,清水,山越保育園,松山市山越1-19-40,○,○,○,○,○,19.38,E3820100179111
43,清水,清水公民館桜ヶ丘団地分館,松山市御幸1-545-3,○,○,○,○,×,42.3,E3820100135111
44,清水,清水ふれあいセンター,松山市清水町1-9-9,○,○,○,○,○,23.6,E3820100280111
45,清水,学校法人松山大学 御幸キャンパス（体育館）,松山市御幸1-320-1 外,○,○,○,○,△,50.6,E3820100133111
46,桑原,桑原公民館,松山市桑原2-6-35,○,○,○,△,○,39.32,E3820100105111
47,桑原,桑原小学校,松山市桑原3-7-27,○,○,○,△,○,40.64,E3820100108111
48,桑原,桑原中学校,松山市畑寺町丙238-28,○,○,○,○,△,67.9,E3820100507111
49,桑原,桑原保育園,松山市桑原4-10-22,○,○,○,○,○,41.88,E3820100109111
50,桑原,松山市畑寺福祉センター（１階、２階部分）,松山市畑寺4-8-5,○,○,○,△,△,42.2,E3820100505111
51,桑原,愛媛大学附属高等学校（体育館）,松山市樽味3-2-40,○,○,○,×,○,42.67,E3820100347111
52,桑原,松山東雲女子大学・短期大学（体育館）,松山市桑原3-2-1,○,○,○,○,○,42.92,E3820100107111
53,桑原,愛媛慈恵会地域交流ホーム,松山市束本2-13-3,○,○,○,△,○,30.58,E3820100322111
54,桑原,愛媛県研修所（講堂兼体育館）,松山市東野4-225,×,○,○,○,○,70.8,E3820100663111
55,道後,道後公民館,松山市道後町1-5-31,○,○,○,△,○,38.6,E3820100446111
56,道後,道後小学校,松山市石手4-10-5,○,○,○,△,○,42.9,E3820100302111
57,道後,湯築小学校,松山市道後北代10-41,○,○,○,△,○,33.2,E3820100450111
58,道後,道後中学校,松山市上市1-3-57,○,○,○,△,○,40.5,E3820100244111
59,道後,道後保育園,松山市道後姫塚123-1,○,○,○,○,×,53.3,E3820100448111
60,道後,道後公民館祝谷分館,松山市祝谷5-7-15,○,○,○,○,△,44.8,E3820100209111
61,道後,道後公民館祝谷東町分館,松山市祝谷東町乙742-34,×,○,○,○,×,102.7,E3820100213111
62,道後,愛媛大学教育学部附属小学校（体育館）,松山市持田町1-5-22,○,○,○,×,○,35,E3820100197112
63,道後,愛媛大学教育学部附属中学校（体育館）,松山市持田町1-5-22,○,○,○,×,○,35.4,E3820100197111
64,味生,味生公民館,松山市別府町177-1,○,○,○,△,○,7.3,E3820100544111
65,味生,味生小学校,松山市別府町166-4,○,○,○,△,○,6.2,E3820100543111
66,味生,味生第二小学校,松山市別府町3-1,○,○,○,○,△,10.6,E3820100545111
67,味生,津田中学校,松山市北斎院町1106,○,○,○,△,×,7.8,E3820100562111
68,味生,味生保育園,松山市北斎院町759-1,○,○,○,△,○,6.7,E3820100565111
69,味生,済美平成中等教育学校（体育館）,松山市空港通5-6-3,○,○,○,×,○,9.72,E3820100100111
70,味生,学校法人新田学園（中央体育館）,松山市山西町663,×,○,×,×,○,4.6,E3820100186111
71,生石,生石公民館,松山市高岡町860-67,○,○,○,△,○,6.1,E3820100162111
72,生石,生石小学校,松山市高岡町630-3,○,○,○,△,○,6.3,E3820100158111
73,生石,西中学校,松山市高岡町409,○,○,○,△,○,6.32,E3820100154111
74,生石,生石保育園,松山市高岡町860-1,○,○,○,△,○,5.9,E3820100161111
75,生石,生石公民館北吉田分館,松山市北吉田町1237-2,×,○,△,△,○,2.91,E3820100557111
76,生石,生石公民館高岡分館,松山市高岡町566,○,○,○,△,○,7.1,E3820100156111
77,垣生,垣生公民館,松山市西垣生町1228-2,○,○,○,△,○,4.75,E3820100286111
78,垣生,垣生小学校,松山市西垣生町730-1,○,○,△,△,○,3.37,E3820100291111
79,垣生,垣生中学校,松山市西垣生町418,○,○,△,△,○,3.12,E3820100290111
80,垣生,木の実幼稚園（遊戯場）,松山市西垣生町1690-1,○,×,×,×,○,2.19,E3820100288111
81,宮前,宮前公民館,松山市古三津1-26-48,○,×,△,△,○,2.51,E3820100121111
82,宮前,宮前小学校,松山市祓川1-3-39,○,×,△,△,○,2.16,E3820100658111
83,宮前,中須賀保育園,松山市中須賀1-12-17,○,×,×,△,○,1.9,E3820100350111
84,三津浜,三津浜公民館,松山市三津3-2-30,○,○,△,○,○,4.14,E3820100175112
85,三津浜,三津浜小学校,松山市梅田町2-42,○,○,△,○,○,3.61,E3820100490111
86,三津浜,三津浜中学校,松山市若葉町8-48,○,×,△,△,○,2.67,E3820100204111
87,三津浜,三津浜幼稚園,松山市神田町1-41,○,×,×,△,○,2.7,E3820100266111
88,三津浜,松山市地域交流センター,松山市三津3-2-30,○,○,△,○,○,4.03,E3820100175111
89,高浜,高浜公民館,松山市梅津寺町1335-4,○,○,×,○,△,4.2,E3820100487111
90,高浜,高浜小学校,松山市梅津寺町1352-2,○,○,○,○,△,9.8,E3820100488111
91,高浜,高浜中学校,松山市梅津寺町乙52,○,○,○,○,△,15.1,E3820100489111
92,高浜,高浜保育園,松山市高浜町6-1674,○,×,×,○,△,2.9,E3820100166111
93,高浜,高浜公民館新浜分館,松山市新浜町14-28,○,×,×,○,○,1.9,E3820100258111
94,高浜,高浜公民館高浜１丁目分館,松山市高浜1-1398-3,○,○,○,○,○,6.2,E3820100164111
95,久枝,久枝公民館,松山市西長戸町299,○,○,○,△,○,10.5,E3820100297111
96,久枝,久枝小学校,松山市安城寺町586-1,○,○,○,△,○,8.5,E3820100009111
97,久枝,みどり小学校,松山市西長戸町493-2,○,○,○,△,○,11.2,E3820100298111
98,久枝,久枝公民館船ケ谷分館,松山市船ケ谷町237-1,○,○,○,○,○,15.8,E3820100319111
99,久枝,松山盲学校（体育館）,松山市久万ノ台112,○,○,○,×,○,15.59,E3820100086111
100,久枝,松山西中等教育学校（体育館）,松山市久万ノ台1485-4,○,○,○,○,○,14.1,E3820100088111
101,久枝,学校法人松山聖陵学園 松山聖陵高等学校（体育館）,松山市久万ノ台1112,○,○,○,○,○,24.72,E3820100085111
102,潮見,潮見公民館,松山市吉藤4-3-16,○,○,○,△,○,15.4,E3820100065111
103,潮見,潮見小学校,松山市吉藤4-7-13,○,○,○,○,○,14.5,E3820100066111
104,潮見,鴨川中学校,松山市鴨川2-7-19,○,○,○,○,○,11.2,E3820100060111
105,潮見,潮見公民館平田分館,松山市平田町272-4,×,○,○,○,○,8.8,E3820100540111
106,潮見,潮見公民館吉藤分館,松山市吉藤5-19-20,○,○,○,△,○,24.2,E3820100067111
107,潮見,潮見公民館谷分館,松山市谷町甲260-3,○,○,○,○,○,15.9,E3820100346111
108,和気,和気公民館,松山市太山寺町1226-1,○,×,△,△,○,3.3,E3820100323111
109,和気,和気小学校,松山市太山寺町671-3,○,×,△,△,○,2.4,E3820100330111
110,和気,北中学校,松山市太山寺町491-1,○,○,○,○,○,4.9,E3820100329111
111,和気,和気公民館勝岡分館,松山市勝岡町112,○,×,×,△,○,1.5,E3820100215111
112,和気,和気公民館太山寺分館,松山市太山寺町1593-2,○,○,○,○,△,13.1,E3820100327111
113,和気,和気公民館朝汐分館,松山市和気町2-925-2,○,×,×,△,○,1.37,E3820100650111
114,和気,松山聾学校（体育館）,松山市馬木町2325,○,○,×,○,○,4.5,E3820100486111
115,堀江,堀江公民館,松山市堀江町甲1400-1,○,○,△,○,○,4.81,E3820100597111
116,堀江,堀江小学校,松山市福角町甲1409-2,○,○,○,△,○,9.3,E3820100524111
117,堀江,内宮中学校,松山市内宮町569-1,○,○,○,○,○,5.8,E3820100451111
118,堀江,堀江保育園,松山市堀江町甲1654-9,○,×,×,×,○,1.3,E3820100598111
119,堀江,堀江公民館東大栗分館,松山市東大栗町780-1,○,○,○,○,○,140.5,E3820100424111
120,堀江,堀江公民館大西二分館,松山市堀江町甲863-5,×,×,×,×,○,3.31,E3820100601111
121,堀江,四国電設工業株式会社松山営業所,松山市堀江町甲805-8,○,△,△,△,○,1.79,E3820100671111
122,余土,余土公民館,松山市余戸東4-4-34,○,○,○,△,○,8.43,E3820100634111
123,余土,余土小学校,松山市余戸東1-14-17,○,○,○,△,○,8.99,E3820100631111
124,余土,さくら小学校,松山市余戸中4-11-1,○,○,○,△,○,7.84,E3820100629111
125,余土,余土中学校,松山市保免西4-5-23,○,○,○,△,○,10.46,E3820100551111
126,余土,椿中学校,松山市市坪南1-1-20,○,○,○,△,○,14.34,E3820100190111
127,余土,余土保育園,松山市余戸東4-1-19,○,○,○,△,○,8.87,E3820100633111
128,余土,余土公民館保免中分館,松山市保免中2-1-17,○,○,○,△,○,12.84,E3820100553111
129,余土,余土公民館余戸中分館,松山市余戸中2-8-22,×,○,○,△,○,7.53,E3820100628111
130,余土,余土公民館市坪分館,松山市市坪北1-3-13,○,○,○,×,○,13.2,E3820100191111
131,由良,由良公民館,松山市由良町1048-2,○,×,△,○,△,2.4,E3820100622111
132,由良,もものはなこども園,松山市由良町479,○,×,×,○,○,2.2,E3820100624111
133,由良,由良小学校跡（体育館）,松山市由良町869,○,×,×,○,○,2.5,E3820100625111
134,由良,由良公民館門田分館,松山市門田町地先,○,×,×,○,△,2.7,E3820100615111
135,泊,泊公民館,松山市泊町818,○,×,×,○,○,3.3,E3820100497111
136,泊,興居島小学校,松山市泊町甲425-3,○,×,×,○,○,3.2,E3820100499112
137,泊,興居島小学校釣島分校,松山市泊町1465,○,×,×,○,○,1.9,E3820100494111
138,泊,興居島中学校,松山市泊町甲425-3,○,×,△,○,○,3.4,E3820100499111
139,泊,泊小学校跡,松山市泊町618-1,○,×,×,○,×,3.1,E3820100496111
140,泊,泊公民館船越分館,松山市泊町1368先船越緑地,○,×,×,○,○,2.9,E3820100493111
141,久米,久米公民館,松山市鷹子町823,○,○,○,△,○,40.26,E3820100342111
142,久米,窪田小学校,松山市久米窪田町307,○,○,○,△,○,46.61,E3820100079111
143,久米,北久米小学校,松山市福音寺町9,○,○,○,○,○,37.8,E3820100521111
