番号,施設の名称,所在地,電話番号,収容可能人員,洪水水害,土砂災害,地震,ため池,津波,共通ID（国）,施設名（国）
1,川之江小学校,川之江町2370番地,28－6285,350,×,×,○,○,×,E3821300062111,川之江小学校
2,金生第一小学校,金生町下分1665番地,28－6282,240,×,○,○,○,○,E3821300012111,金生第一小学校
3,金生第二小学校,金生町山田井775番地,28－6283,180,○,○,○,○,○,E3821300016111,金生第二小学校
4,妻鳥小学校,妻鳥町1488番地,28－6281,330,○,○,○,○,○,E3821300026111,妻鳥小学校
5,上分小学校,上分町800番地,28－6284,280,×,○,○,○,○,E3821300041111,上分小学校
6,南小学校,金田町金川145番地,28－6280,260,○,○,○,○,○,E3821300019111,南小学校
7,川之江北中学校,川之江町2390番地,28－6287,400,×,○,○,○,×,E3821300063111,川之江北中学校
8,川之江南中学校,上分町395番地,28－6286,400,×,○,○,×,○,E3821300038111,川之江南中学校
9,川之江ふれあい交流センター,川之江町4069番地1,28－6247,100,○,○,○,○,○,E3821300067111,川之江ふれあい交流センター
10,金生公民館,金生町下分865番地1,28－6249,235,×,○,○,○,○,E3821300015111,金生公民館
11,上分公民館,上分町556番地1,28－6248,300,×,○,○,○,○,E3821300040111,上分公民館
12,妻鳥公民館,妻鳥町1480番地2,28－6250,200,○,○,○,○,○,E3821300025111,妻鳥公民館
13,金田公民館,金田町金川330番地,28－6251,100,○,○,○,○,○,E3821300022111,金田公民館
14,川滝公民館,川滝町下山1882番地1,28－6252,100,○,×,○,○,○,E3821300056111,川滝公民館
15,川之江こども園,川之江町1061番地6,28－6270,90,×,○,○,○,○,E3821300058111,川之江こども園
16,金生保育園,金生町下分1653番地1,28－6273,100,×,○,○,○,○,E3821300011111,金生保育園
17,上分保育園,上分町545番地1,28－6272,50,×,○,○,×,○,E3821300039111,上分保育園
18,金田こども園,金田町金川203番地1,28－6275,50,○,○,○,○,○,E3821300020111,金田こども園
19,石川保育園,川滝町下山2104番地3,－,50,○,○,○,○,○,E3821300057111,石川保育園
20,葱尾ふれあい広場,川滝町下山1353番地2,－,50,○,×,○,○,○,E3821300055111,葱尾ふれあい広場
21,川之江高等学校,川之江町2257番地,58－2061,500,×,○,○,○,○,E3821300061111,川之江高等学校
